I0,I1,I2
0.000000,0.000000,202.587982
0.000000,0.000000,60.095306
0.000000,0.000000,9.448339
0.000000,0.000000,-5.575462
0.000000,0.000000,-7.937523
0.000000,0.000000,-6.543632
0.000000,0.000000,-4.559226
0.000000,0.000000,-2.923293
0.000000,0.000000,-1.783462
0.000000,0.000000,-1.052613
0.000000,0.000000,-0.606723
0.000000,0.000000,-0.343544
0.000000,0.000000,-0.191839
0.000000,0.000000,-0.000102
0.000000,0.000000,-0.000005
0.000000,0.000000,-76.295822
0.000000,0.000000,-38.147865
0.000000,0.000000,-19.073881
0.000000,0.000000,-9.536888
0.000000,0.000000,-4.768399
0.000000,0.000000,73.911728
0.000000,0.000000,36.955914
0.000000,0.000000,18.478006
0.000000,0.000000,9.239053
0.000000,0.000000,4.619576
0.000000,0.000000,2.309838
0.000000,0.000000,0.000664
0.000000,0.000000,0.000382
0.000000,0.000000,0.000241
0.000000,0.000000,0.000170
0.000000,0.000000,0.000136
0.000000,0.000000,0.000118
0.000000,0.000000,0.000109
0.000000,0.000000,0.000104
0.000000,0.000000,-76.295769
0.000000,0.000000,-38.147831
0.000000,0.000000,-19.073864
0.000000,0.000000,-9.536887
0.000000,0.000000,-4.768392
0.000000,0.000000,0.000382
0.000000,0.000000,0.000241
0.000000,0.000000,0.000171
