Time,acc[0],speed[0],acc_iir
52730000,0.033496093,-13.08936787,-0.071815576
52741000,0.023925781,-13.1061945,-0.034177493
52753000,-0.038281251,-12.97130108,-0.003277005
52764000,0.066992186,-12.88136673,-0.005193645
52775000,0.023925781,-12.76158524,0.004411892
52787000,0.009570313,-12.55050468,0.024580548
52799000,-0.119628906,-12.30479431,0.020732017
52810000,-0.090917967,-12.27589893,-0.016493615
52822000,-0.177050784,-12.44349384,-0.060115944
52833000,-0.148339853,-12.77617931,-0.0964115
52846000,-0.019140625,-13.1777277,-0.128980325
52857000,-0.009570313,-13.42194557,-0.106751424
52868000,0.081347659,-13.39711761,-0.061352293
52879000,0.114843756,-13.24065208,-0.013572546
52891000,-0.038281251,-12.94590855,0.041296107
52902000,0.224902347,-12.72288704,0.039814746
52914000,0.023925781,-12.48086739,0.066100127
52926000,0.229687512,-12.23361206,0.094752919
52937000,0.282324225,-11.82821655,0.110502649
52948000,0.334960938,-11.41625309,0.181996251
52959000,0.143554688,-10.57215309,0.244224444
52970000,0.095703125,-9.779723167,0.241784069
52982000,0.138769537,-9.214646339,0.18176263
52993000,0.162695318,-8.804035187,0.150057369
53004000,0.19140625,-8.513781548,0.150389062
53015000,0.153125003,-7.950140476,0.163489408
53027000,0.114843756,-7.360384464,0.167801639
53039000,0.066992186,-6.838960648,0.15118539
53050000,-0.071777344,-6.538687229,0.121572747
53061000,-0.143554688,-6.461409092,0.060661877
53072000,-0.311035156,-6.76954937,-0.022046722
53085000,-0.483300805,-7.494037628,-0.122896265
53096000,-0.564648449,-8.250321388,-0.257660795
53107000,-0.38759765,-9.640672684,-0.388515186
53118000,-0.277539074,-11.04564476,-0.431561669
53130000,-0.148339853,-12.18421555,-0.382920902
53141000,-0.129199222,-12.97198677,-0.299399827
53153000,-0.019140625,-13.46295071,-0.220473477
53165000,0.263183594,-13.59778214,-0.148586627
53176000,0.205761716,-13.42602634,-0.015622224
53187000,0,-12.95025826,0.107262918
53198000,-0.014355469,-12.57020855,0.105109775
53210000,0.086132817,-12.38801098,0.049936847
53221000,0.057421878,-12.23169136,0.04303422
53233000,0.148339853,-11.95437622,0.057157273
53244000,0.459375024,-11.44901562,0.079623747
53255000,0.559863269,-10.85231018,0.189801889
53268000,0.545507848,-9.566016197,0.346945407
53279000,0.430664063,-8.014259338,0.448036673
53290000,0.272753924,-6.568315983,0.467715052
53302000,0.205761716,-5.424299717,0.410715
53313000,0.138769537,-4.688898563,0.326468813
53325000,-0.062207032,-4.215472221,0.250700446
53337000,-0.05263672,-4.028958797,0.146327406
53349000,0.095703125,-3.994086742,0.046214362
53360000,0.133984372,-3.96983552,0.034087173
53372000,-0.004785156,-3.748493195,0.073767247
53383000,0.344531268,-3.405902147,0.06926269
53394000,0.344531268,-2.795000553,0.118698005
53406000,0.248828128,-1.945285201,0.229662103
53419000,0.210546881,-1.036892414,0.262591472
53430000,0.124414064,-0.348158479,0.246423973
53442000,-0.177050784,0.030210912,0.207634761
53453000,-0.320605487,-0.172622293,0.092680938
53465000,-0.559863269,-0.962653041,-0.075120943
53476000,-0.799121082,-2.298491001,-0.254520923
53488000,-0.712988317,-3.42191267,-0.463332287
53499000,-0.464160174,-5.308681965,-0.607162642
53510000,-0.287109375,-6.985359192,-0.598029158
53521000,0.090917967,-8.072228432,-0.488754767
53532000,0.229687512,-8.356797218,-0.296802838
53544000,0.282324225,-8.266058922,-0.072202142
53555000,0.373242199,-7.684705257,0.089064207
53566000,0.301464856,-6.839607716,0.206359767
53578000,0.468945324,-5.997137547,0.270724087
53591000,0.440234393,-5.132741451,0.326974797
53603000,0.473730475,-4.094704628,0.38967898
53615000,0.57421875,-2.696646214,0.422748807
53626000,0.57900393,-1.009129047,0.472486521
53637000,0.473730475,0.821055055,0.523648677
53648000,0.674707055,1.985461712,0.524984436
53661000,0.3828125,4.219907284,0.549175925
53672000,0.153125003,5.607791901,0.539144367
53684000,0.416308612,6.744661331,0.405901119
53696000,0.459375024,7.378585339,0.346356711
53707000,0.3828125,8.446550369,0.391308293
53719000,0.296679705,9.647260666,0.405943505
53730000,0.287109375,10.79665089,0.37341714
53741000,0.330175787,11.81013775,0.333360677
53753000,0.401953131,12.80679703,0.32121534
53764000,0.363671869,13.50685406,0.343252138
53775000,0.411523432,14.61344337,0.362690284
53786000,0.37802735,15.76259995,0.37492862
53797000,0.062207032,16.79193687,0.384680412
53808000,-0.028710939,17.45300293,0.3038216
53821000,-0.114843756,17.63378334,0.162766835
53833000,-0.368457049,17.32672501,0.047522591
53844000,-0.349316418,16.87306595,-0.094563743
53856000,-0.296679705,15.92746639,-0.224439926
53867000,-0.3828125,14.92106724,-0.272866869
53879000,-0.454589844,13.94253922,-0.305728254
53891000,-0.598144531,12.80533123,-0.36123796
53903000,-0.899609387,11.29517078,-0.442374882
53915000,-1.028808594,9.203505516,-0.592975932
53927000,-1.114941478,6.522378922,-0.775382814
53939000,-0.674707055,3.462785244,-0.921065481
53950000,-0.38759765,0.720992863,-0.908171753
53961000,-0.818261743,-1.39733243,-0.722921728
53973000,0.291894525,-2.507079124,-0.663963152
53984000,0.622070313,-2.579442739,-0.467038483
53996000,0.047851563,-1.73842597,-0.013017032
54007000,-0.143554688,-0.704501092,0.157963368
54018000,0.177050784,-0.347293884,0.056835359
54030000,0.488085955,-0.193594471,0.037138295
54041000,0.712988317,0.55669868,0.182299071
54053000,0.722558618,2.100200653,0.387802056
54065000,0.478515625,3.995499611,0.549934859
54077000,0.057421878,5.606390953,0.574798488
54088000,0.047851563,6.528484821,0.424036441
54100000,0.043066408,6.88559866,0.241547668
54111000,0.100488283,7.036089897,0.145198692
54122000,0.071777344,7.312334538,0.109122813
54133000,0.023925781,7.566304207,0.097826582
54145000,0.014355469,7.725365639,0.073271152
54156000,0.014355469,7.782864094,0.046673896
54167000,0.162695318,7.901438236,0.030794105
54180000,0.282324225,8.175706863,0.05916061
54192000,0.349316418,8.736185074,0.139422889
54204000,0.339746088,9.602425575,0.226096489
54215000,0.363671869,10.66040325,0.284289895
54228000,0.162695318,11.74359608,0.317416538
54239000,0.033496093,12.61232281,0.290768959
54251000,-0.129199222,13.07415199,0.196098167
54262000,0.023925781,13.10462666,0.076232468
54273000,0.1866211,13.10978985,0.012912065
54284000,0.301464856,13.27066708,0.058294205
54296000,0.272753924,14.0797739,0.149562625
54307000,0.373242199,14.58215237,0.217146791
54318000,0.363671869,15.46628475,0.269157246
54330000,0.248828128,16.43416977,0.317948603
54341000,0.224902347,17.36639786,0.312200446
54352000,0.325390637,17.90023041,0.275184183
54363000,0.086132817,18.64705467,0.275165663
54374000,0.086132817,19.26138115,0.241063755
54386000,0.004785156,19.65917206,0.164937805
54397000,-0.095703125,19.7720108,0.106231398
54409000,-0.167480469,19.65792656,0.031697708
54420000,-0.124414064,19.35998917,-0.048535258
54431000,-0.167480469,19.1039257,-0.096399047
54442000,-0.086132817,18.6803093,-0.120744767
54453000,-0.019140625,18.35184288,-0.123723295
54464000,-0.05263672,18.1358223,-0.088794616
54476000,-0.133984372,17.99867249,-0.062799064
54488000,-0.172265634,17.82211685,-0.077791006
54499000,-0.138769537,17.42367172,-0.114806674
54510000,0.014355469,17.01499367,-0.134810147
54522000,-0.033496093,16.80594254,-0.09913631
54534000,0.023925781,16.77452087,-0.05512769
54545000,0.138769537,16.87507057,-0.03039168
54556000,0.181835935,17.12214661,0.024511902
54568000,0.138769537,17.49368286,0.091233284
54579000,0.114843756,17.75737572,0.125170842
54591000,0.162695318,18.14731026,0.125974601
54602000,0.148339853,18.56012344,0.132261445
54613000,0.138769537,18.99390602,0.143688445
54625000,0.177050784,19.51154327,0.143622726
54638000,0.143554688,20.05719566,0.150642916
54650000,0.138769537,20.5879364,0.155389308
54661000,0,20.99179268,0.148398717
54673000,-0.124414064,21.194067,0.10957489
54684000,-0.1866211,21.06910706,0.02516914
54695000,-0.1866211,20.81367302,-0.06361202
54708000,-0.162695318,20.3050499,-0.124053035
54720000,-0.172265634,19.77462196,-0.148918094
54731000,-0.095703125,19.25959396,-0.158038797
54743000,-0.100488283,18.81113434,-0.14621956
54755000,-0.043066408,18.50948143,-0.122573707
54766000,-0.114843756,18.32242012,-0.097614707
54778000,-0.114843756,18.07025337,-0.088446224
54789000,-0.081347659,17.72421265,-0.101416759
54800000,-0.119628906,17.47752571,-0.099784947
54811000,-0.100488283,17.12859917,-0.100130534
54823000,-0.253613293,16.77839851,-0.105008727
54834000,0.215332031,16.56227493,-0.140406889
54846000,0.330175787,16.76721573,-0.080822217
